model,scope,n,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant,date_start,date_end
baseline_zero,Overall,3899,0.01596990387693619,,,True,2011-02-02,2026-08-05
baseline_zero,LowVol,2216,0.0117837112039662,,,True,2011-02-02,2026-07-31
baseline_zero,HighVol,1683,0.021481848596663765,,,True,2011-03-10,2026-08-05
lightgbm,Overall,3899,0.01601953371514723,0.08398979256593683,0.5478327776352911,False,2011-02-02,2026-08-05
lightgbm,LowVol,2216,0.01169179826606251,0.030421084307085143,0.5442238267148014,False,2011-02-02,2026-07-31
lightgbm,HighVol,1683,0.02171784729516609,0.09562704140632515,0.5525846702317291,False,2011-03-10,2026-08-05
random_forest,Overall,3899,0.01562518889366644,0.10468900397954184,0.5965632213388048,False,2011-02-02,2026-08-05
random_forest,LowVol,2216,0.011559759934113782,0.04132958149262037,0.5879963898916968,False,2011-02-02,2026-07-31
random_forest,HighVol,1683,0.02097812446964308,0.1155220794425063,0.6078431372549019,False,2011-03-10,2026-08-05
adaboost,Overall,3899,0.01623089679415996,0.09730527267345217,0.3918953577840472,False,2011-02-02,2026-08-05
adaboost,LowVol,2216,0.012018913418962815,-0.04433675737795409,0.4074909747292419,False,2011-02-02,2026-07-31
adaboost,HighVol,1683,0.021776800038032146,0.1205132481366398,0.37136066547831253,False,2011-03-10,2026-08-05
xgboost,Overall,3899,0.016092434833894432,0.05421404905178563,0.5498845857912286,False,2011-02-02,2026-08-05
xgboost,LowVol,2216,0.011710775443102,0.02754568154866499,0.5537003610108303,False,2011-02-02,2026-07-31
xgboost,HighVol,1683,0.02186174987251358,0.058134004075486995,0.5448603683897801,False,2011-03-10,2026-08-05
